상품명,스펙목록,가격
LG전자 오브제컬렉션 코드제로 A9 AU9202WD,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												210W / 															소비전력: 												590W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											60초 / 												브러쉬: 															바닥, 																											물걸레(별매) / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											디스플레이표시 / 																											배터리잔량표시 / 																											헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.5kg / 2023년형 / 크기(가로x세로x깊이): 250x1120x260mm											",633550
LG전자 오브제컬렉션 코드제로 A9S AX9888,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												280W / 															소비전력: 												677W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											스팀온수물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm											",1172570
LG전자 오브제컬렉션 코드제로 A9S AX9804,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												250W / 															소비전력: 												620W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											물걸레(별매) / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm											",902090
LG전자 오브제컬렉션 코드제로 A9S AU9672WD,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												220W / 															소비전력: 												590W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											36초 / 												브러쉬: 															와이드바닥, 																											물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											디스플레이표시 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.7kg / 2022년형 / 크기(가로x세로x깊이): 300x1120x260mm											",755190
다이슨 V10 앱솔루트,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											소비전력: 												525W / [구성] 거치대: 															충전, 																											거치 / 																											벽걸이거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 																											카펫 / 																											미니바닥 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3시간30분 / 															리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 												[부가] 프리볼트 / 																											먼지필터 / 																											색상: 												블루, 코퍼, 블랙 / 															무게: 												2.5kg / 2018년형 / 크기(가로x세로x깊이): 250x1241x256mm											",475470
드리미 V10,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												140AW / 															흡입력: 												22000Pa / 															소비전력: 												450W / [구성] 거치대: 															거치 / 																											벽걸이거치 / 												브러쉬: 															바닥 / 																											침구 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3시간30분 / 															2500mAh / 																											25.2V / 																											싸이클론흡입 / 																											BLDC모터 / 																											먼지통: 												0.5L / [부가] 헤파필터 / 																											5단계여과 / 																											색상: 												화이트 / 															무게: 												1.5kg											",143297
다이슨 V15 오리진 컴플리트,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												200AW / [구성] 거치대: 															거치 / 																											스탠드거치 / 																											펫 / 																											솔형 / 																											틈새 / 																											카펫 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간30분 / 															분리형(1개) / 												[청소] 싸이클론흡입 / 																											먼지감지센서 / 																											먼지통: 												0.54L / [부가] 디스플레이표시 / 																											워셔블헤파필터 / 																											색상: 												니켈/레드 / 															무게: 												3kg / 2023년형 / 크기(가로x세로x깊이): 266x1260x250mm											",649370
일렉트로룩스 얼티밋홈 900 EFP91813,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											소비전력: 												150W / [구성] 거치대: 															충전, 																											거치 / 																											스탠드거치 / 												브러쉬: 															바닥, 																											물걸레(별매) / 																											솔형 / 																											틈새 / 																											각도조절툴 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												1시간38분 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											인버터모터 / 																											먼지통: 												0.4L / [부가] 디스플레이표시 / 																											배터리잔량표시 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												그라나이트그레이 / 															무게: 												2.88kg / 2021년형 / 크기(가로x세로x깊이): 260x1120x260mm											",257990
일렉트로룩스 WELL Q6 WQ61-1OGG,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 거치대: 															충전, 																											거치 / 																											스탠드거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												45분 / 															충전시간: 												4시간30분 / 															내장형 / 																											리튬이온 / 																											18V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											먼지통: 												0.3L / [부가] 배터리잔량표시 / 																											셀프스탠딩 / 																											먼지필터 / 																											5단계여과 / 																											색상: 												그라나이트그레이 / 															무게: 												2.65kg / 2020년형 / 크기(가로x세로x깊이): 386x692x146mm											",209410
LG전자 오브제컬렉션 코드제로 A9S AU9872,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												220W / 															소비전력: 												590W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											36초 / 												브러쉬: 															와이드바닥, 																											물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											디스플레이표시 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.7kg / 2022년형 / 크기(가로x세로x깊이): 300x1120x260mm											",899000
DIBEA ALLNEW29000+,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												167AW / 															흡입력: 												40000Pa / 															소비전력: 												500W / [구성] 브러쉬: 															바닥, 																											물걸레(별매) / 																											침구 / 																											솔형 / 																											틈새 / 																											카펫 / 																											연장툴 / 												[배터리] 사용시간: 												50분 / 															충전시간: 												5시간 / 															분리형(1개) / 																											리튬이온 / 																											2500mAh / 																											25.9V / 												[청소] LED라이트 / 																											UV살균 / 																											BLDC모터 / 																											먼지통: 												0.68L / [부가] 디스플레이표시 / 																											배터리잔량표시 / 																											헤파필터 / 																											6단계여과 / 																											색상: 												화이트 / 															무게: 												2.5kg / 2023년형 / 분리형먼지통 / 크기(가로x세로x깊이): 245x1050~1275x210mm											",239000
LG전자 코드제로 A9 AT9100SA,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												200W / 															소비전력: 												590W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지비움시간: 																											60초 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												40분 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											스마트인버터모터 / 												[부가] 배터리잔량표시 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												딥그레이(올인원타워), 판타지실버(청소기) / 															무게: 												2.5kg / 2023년형 / 크기(가로x세로x깊이): 250x1120x260mm											",549590
LG전자 오브제컬렉션 코드제로 A9S AX9974WE,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												250W / 															소비전력: 												620W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											물걸레 / 																											침구 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm											",1286270
LG전자 오브제컬렉션 코드제로 A9S AX9874,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												250W / 															소비전력: 												620W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm											",958890
삼성전자 비스포크 제트 AI VS28C973ES,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												280W / [구성] 거치대: 															청정스테이션, 																											먼지비움, 																											UVC LED, 																											싸이클론비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											1.2L / 																											먼지비움시간: 																											14초 / 												브러쉬: 															바닥, 																											물걸레 / 																											침구 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												1시간20분 / 															충전시간: 												5시간 / 															분리형(2개) / 																											리튬이온 / 																											3970+2200mAh / 																											25.2V / 												[청소] 싸이클론흡입 / 																											AI청소 / 																											LED라이트 / 																											물분사 / 																											먼지감지센서 / 																											디지털인버터모터 / 																											먼지통: 												0.5L / [부가] 스마트폰제어 / 																											대화형알림창 / 																											배터리잔량표시 / 																											항균물통 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												새블랙 / 2023년형 / 크기(가로x세로x깊이): 250x942x243mm / 출시가: 1,540,900원											",1012330
