상품명,스펙목록,가격
오토모 블랙스완 트윈브러쉬 SWX1,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												20000Pa / 															소비전력: 												200W / [구성] 거치대: 															충전, 																											거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												25분 / 															충전시간: 												5시간 / 															리튬이온 / 																											2200mAh / 																											싸이클론흡입 / 																											BLDC모터 / 																											먼지통: 												150mL / [부가] 헤파필터 / 																											색상: 												블랙 / 															무게: 												2.3kg / 2023년형											",826400
블랙앤데커 20V MAX BCHV001C1E,"
핸디청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												45AW / [구성] 브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												10분 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											18V / 																											먼지통: 												120mL / [부가] 먼지필터 / 																											무게: 												1.3kg / 크기(가로x세로x깊이): 190x440x120mm											",108500
보아르 포스 D14,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 																											연장툴 / 																											사용시간: 												45분 / 															충전시간: 												5시간30분 / 															2200mAh / 												[청소] LED라이트 / 																											먼지통: 												0.5L / [부가] 배터리잔량표시 / 																											셀프스탠딩 / 																											헤파필터 / 																											색상: 												화이트 / 															무게: 												1.3kg / 2020년형											",109000
신일전자 SVC-D950GK,"
핸디청소기 / 																											무선 / 																											흡입 / 																											소비전력: 												90W / [구성] 거치대: 															거치 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												16분 / 															충전시간: 												5시간30분 / 															니켈수소 / 																											14.4V / 												[청소] [부가] 프리볼트 / 																											먼지필터 / 																											2단계여과 / 																											무게: 												1.74kg / 건습식 / 크기(가로x세로x깊이): 414x120x118mm											",49860
아이룸 제우스 i30,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												30000Pa / [구성] 브러쉬: 															바닥, 																											물걸레(별매) / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												40분 / 															충전시간: 												5시간 / 															분리형(1개) / 																											리튬이온 / 																											2200mAh / 												[청소] BLDC모터 / 												[부가] 셀프스탠딩 / 																											헤파필터 / 																											3단계여과 / 																											무게: 												2.4kg / 2021년형 / 크기(가로x세로x깊이): 250x1100x210mm											",149000
DIBEA AUTO17000,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												22000Pa / [구성] 브러쉬: 															바닥 / 																											BLDC모터 / 												[부가] 헤파필터 / 																											색상: 												블랙 / 															무게: 												0.5kg / 2021년형											",87200
에어메이드 스마트포스 AMC-3500,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												370W / [구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												45분 / 															충전시간: 												5시간 / 															분리형(1개) / 																											리튬이온 / 																											2500mAh / 												[청소] LED라이트 / 																											UV살균 / 												[부가] 디스플레이표시 / 																											헤파필터 / 																											5단계여과 / 																											무게: 												2.5kg / 2022년형 / 크기(가로x세로x깊이): 255x1230x215mm											",139300
테팔 엑스퍼트 3.60 TY6974,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												45분 / 															충전시간: 												5시간 / 															분리형(1개) / 																											리튬이온 / 																											22V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											DC모터 / 																											먼지통: 												0.5L / [부가] 배터리잔량표시 / 																											프리볼트 / 																											워셔블먼지필터 / 																											색상: 												블랙+옐로우 / 															무게: 												2.2kg / 2020년형											",172840
쿠쿠전자 파워클론 CVC-AE1410,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											소비전력: 												420W / [구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												35분 / 															분리형(1개) / 												[청소] 먼지감지센서 / 																											BLDC모터 / 												[부가] 디스플레이표시 / 																											헤파필터 / 																											5단계여과 / 																											색상: 												노블화이트 / 															무게: 												3.1kg / 2022년형 / 크기(가로x세로x깊이): 240x1168x260mm											",345870
,,
일렉트로룩스 라피도 리튬 ZB6214IGM,"
핸디청소기 / 																											무선 / 																											흡입 / 												[구성] 거치대: 															충전, 																											거치 / 												[배터리] 사용시간: 												24분 / 															충전시간: 												4시간 / 															내장형 / 																											리튬이온 / 																											14.4V / 																											싸이클론흡입 / 																											먼지통: 												0.5L / [부가] 먼지필터 / 																											3단계여과 / 																											색상: 												아이언그레이메탈릭 / 															무게: 												1.14kg / 크기(가로x세로x깊이): 124x137x410mm											",143500
삼성전자 비스포크 제트 VS20B957E4,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												220W / [구성] 거치대: 															청정스테이션, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											1.2L / 																											먼지비움시간: 																											14초 / 												브러쉬: 															바닥, 																											물걸레 / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3시간30분 / 															분리형(2개) / 																											리튬이온 / 																											2200+2200mAh / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											물분사 / 																											디지털인버터모터 / 																											먼지통: 												0.5L / [부가] 스마트폰제어 / 																											대화형알림창 / 																											디스플레이표시 / 																											배터리잔량표시 / 																											항균물통 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												페블그레이 / 2022년형 / 크기(가로x세로x깊이): 250x930x202mm											",804420
DIBEA 올인원뉴,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												20000Pa / 															소비전력: 												200W / [구성] 거치대: 															거치 / 												브러쉬: 															바닥, 																											물걸레 / 																											침구 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												50분 / 															충전시간: 												3시간30분 / 															내장형 / 																											리튬이온 / 																											2600mAh / 																											18.5V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											BLDC모터 / 																											먼지통: 												0.46L / 															물통: 												0.26L / [부가] 워셔블먼지필터 / 																											4단계여과 / 																											색상: 												레드 / 															무게: 												0.93kg / 크기(가로x세로x깊이): 245x990x185mm											",149000
테팔 엑스콤보 GF3039,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 												[구성] 브러쉬: 															바닥, 																											물걸레 / 												[배터리] 사용시간: 												20분 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 												[청소] 자동물공급 / 																											먼지통: 												0.55L / 															물통: 												0.25L / [부가] 셀프스탠딩 / 																											워셔블먼지필터 ",189600
신일전자 SVC-DC2000PK,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												30분 / 															충전시간: 												4~5시간 / 															2100mAh / 																											22.2V / 												[청소] [부가] 프리볼트 / 																											헤파필터 / 																											색상: 												핑크 / 															무게: 												1.5kg											",114390
,,
드리미 P10 Pro,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												130AW / 															흡입력: 												22000Pa / [구성] 브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 																											미니바닥 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3시간 / 															분리형(1개) / 												[청소] BLDC모터 / 																											먼지통: 												0.5L / [부가] 디스플레이표시 / 																											워셔블먼지필터 / 																											무게: 												1.63kg / 2021년형											",148520
테팔 에어포스 라이트 TY6541KM,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 브러쉬: 															바닥 / 												[배터리] 사용시간: 												30분 / 															충전시간: 												5시간 / 															리튬이온 / 																											14.4V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 												[부가] 배터리잔량표시 / 																											셀프스탠딩 / 																											먼지필터 / 																											색상: 												퍼플 / 															무게: 												2.31kg / 2018년형											",133030
밀레 트라이플렉스 HX2 Pro,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 																											패브릭 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											2500mAh / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											BLDC모터 / 																											먼지통: 												0.5L / [부가] 셀프스탠딩 / 																											헤파필터 / 																											색상: 												캐시미어그레이 / 															무게: 												3.6kg / 2023년형											",1205190
마끼다 DCL281FZW,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												8200Pa / 															소비전력: 												60W / [구성] 브러쉬: 															바닥 / 																											사용시간: 												20분 / 															BLDC모터 / 																											먼지통: 												0.75L / [부가] 헤파필터 / 																											색상: 												화이트 / 															무게: 												1.6kg / 크기(가로x세로x깊이): 154x1016x113mm											",126810
DIBEA M500 퀀텀,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												25000Pa / 															소비전력: 												400W / [구성] 거치대: 															거치 / 																											벽걸이거치 / 												브러쉬: 															바닥, 																											물걸레 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												50분 / 															충전시간: 												3시간 / 															분리형(1개) / 																											리튬이온 / 																											2000mAh / 																											29.6V / 																											LED라이트 / 																											BLDC모터 / 																											먼지통: 												0.5L / [부가] 워셔블먼지필터 / 																											색상: 												블랙, 화이트 / 															무게: 												2.5kg / 2020년형 / 크기(가로x세로x깊이): 256x1172x217mm											",170630
LG전자 오브제컬렉션 코드제로 A9S AU9972,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												220W / 															소비전력: 												590W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											36초 / 												브러쉬: 															와이드바닥, 																											물걸레 / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											디스플레이표시 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍그린 / 															무게: 												2.7kg / 2022년형 / 크기(가로x세로x깊이): 300x1120x260mm											",874490
다이슨 V11 컴플리트,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												185AW / 															소비전력: 												545W / [구성] 거치대: 															거치 / 												브러쉬: 															바닥, 																											바닥+카펫 / 																											침구 / 																											솔형 / 																											틈새 / 																											미니바닥 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간30분 / 															분리형(1개) / 												[청소] 싸이클론흡입 / 																											먼지통: 												0.54L / [부가] 디스플레이표시 / 																											헤파필터 / 																											색상: 												니켈블루 / 															무게: 												2.95kg / 2019년형 / 크기(가로x세로x깊이): 250x1280x261mm											",959990
길텐 GTC-2005,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 브러쉬: 															바닥 / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												20분 / 															2150mAh / 												[청소] LED라이트 / 												[부가] 셀프스탠딩 / 																											헤파필터 / 																											색상: 												블루/네이비											",82760
신일전자 SVC-B880,"
핸디청소기 / 																											무선 / 																											흡입 / 																											소비전력: 												60W / [구성] 거치대: 															충전, 																											거치 / 												브러쉬: 															바닥 / 																											틈새 / 												[배터리] 사용시간: 												9분 / 															충전시간: 												8시간 / 															4.8V / 																											싸이클론흡입 / 												[부가] 워셔블먼지필터 / 																											색상: 												블랙											",54630
보쉬 GAS10.8V-LI,"
핸디청소기 / 																											무선 / 																											흡입 / 																											사용시간: 												7분 / [부가] 먼지필터 / 																											색상: 												블루/네이비 / 크기(가로x세로x깊이): 273x170x77mm											",45900
리하스 S3,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												30000Pa / 															소비전력: 												350W / [구성] 거치대: 															충전, 																											거치 / 												브러쉬: 															바닥, 																											물걸레(별매) / 																											틈새 / 																											패브릭 / 												[배터리] 사용시간: 												42분 / 															충전시간: 												4~5시간 / 															분리형(1개) / 																											리튬이온 / 																											2500mAh / 																											25.9V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											먼지감지센서 / 																											BLDC모터 / 												[부가] 디스플레이표시 / 																											헤파필터 / 																											4단계여과 / 																											무게: 												1.5kg / 2022년형											",215100
보만 VC7210,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 브러쉬: 															바닥 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												10~15분 / 															충전시간: 												10시간 / 															1.2V / 												[부가] 워셔블먼지필터 / 																											색상: 												블랙+오렌지 / 															무게: 												0.8kg / 크기(가로x세로x깊이): 145x440x115mm											",51900
일렉트로룩스 ZB3512IG,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												35분 / 															충전시간: 												4시간 / 															내장형 / 																											리튬이온 / 																											18V / 												[청소] LED라이트 / 																											먼지통: 												0.42L / [부가] 배터리잔량표시 / 																											셀프스탠딩 / 																											먼지필터 / 																											4단계여과 / 																											색상: 												아이언그레이 / 															무게: 												2.5kg / 2021년형 / 크기(가로x세로x깊이): 299x689x165mm											",229840
신일전자 SVC-RK200WS,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												22분 / 															충전시간: 												3시간30분 / [청소] 먼지통: 												0.6L / [부가] 배터리잔량표시 / 																											헤파필터 / 																											색상: 												화이트 / 															무게: 												1.8kg / 크기(가로x세로x깊이): 235x1150x175mm											",89000
삼성전자 비스포크 제트 AI VS25C972HR,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												250W / [구성] 거치대: 															청정스테이션, 																											먼지비움, 																											UVC LED, 																											싸이클론비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											1.2L / 																											먼지비움시간: 																											14초 / 												브러쉬: 															바닥, 																											고온물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3시간30분 / 															분리형(2개) / 																											리튬이온 / 																											2200+2200mAh / 																											25.2V / 												[청소] 싸이클론흡입 / 																											AI청소 / 																											LED라이트 / 																											물분사 / 																											먼지감지센서 / 																											디지털인버터모터 / 																											먼지통: 												0.5L / 															물통: 												0.15L / [부가] 스마트폰제어 / 																											대화형알림창 / 																											배터리잔량표시 / 																											항균물통 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												새틴베이지 / 															무게: 												2.67kg / 2023년형 / 크기(가로x세로x깊이): 350x1066x300mm / 출시가: 1,549,000원											",1098990
삼성전자 제트 VS15A6031N5,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												150AW / [배터리] 사용시간: 												40분 / 															분리형(1개) / 												[청소] 싸이클론흡입 / 												[부가] 디스플레이표시 / 																											워셔블헤파필터 / 																											5단계여과												 / 크기(가로x세로x깊이): 250x1120x200mm											",325940
밀레 트라이플렉스 HX2,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 																											패브릭 / 												[배터리] 사용시간: 												1시간 / 															분리형(1개) / 																											리튬이온 / 												[청소] 싸이클론흡입 / 																											BLDC모터 / 												[부가] 셀프스탠딩 / 																											헤파필터 / 																											색상: 												그레이, 화이트 / 2023년형											",1027060
드리미 T20,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												150AW / 															흡입력: 												25000Pa / 															소비전력: 												450W / [구성] 거치대: 															충전, 																											거치 / 												브러쉬: 															바닥, 																											물걸레 / 																											침구 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												1시간10분 / 															충전시간: 												4시간 / 															분리형(1개) / 																											2800mAh / 																											25.2V / 																											싸이클론흡입 / 																											BLDC모터 / 																											먼지통: 												0.6L / 															물통: 												0.25L / [부가] 헤파필터 / 																											5단계여과 / 																											색상: 												레드 / 															무게: 												1.67kg / 2021년형 / 크기(가로x세로x깊이): 259x1191x164mm											",286400
듀플렉스 파인포스 DP-895VC,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												8500Pa / [구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												33분 / 															리튬이온 / 																											2000mAh / 												[청소] [부가] 헤파필터 / 																											무게: 												1.3kg / 크기(가로x세로x깊이): 256x1015x197mm											",67790
에어메이드 THE 500+ AMC-4500,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											소비전력: 												480W / [구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											침구 / 																											솔형 / 																											틈새 / 																											연장툴 / 																											각도조절툴 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간30분 / 															2500mAh / 																											28.8V / 												[청소] 싸이클론흡입 / 																											BLDC모터 / 												[부가] 프리볼트 / 																											헤파필터 / 																											4단계여과 / 																											색상: 												화이트 / 															무게: 												2.3kg / 2020년형 / 크기(가로x세로x깊이): 256x1243x133mm											",249000
캐치웰 미니제트,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												15000Pa / 															소비전력: 												120W / [구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											틈새 / 																											패브릭 / 																											연장툴 / 												[배터리] 사용시간: 												20분 / 															충전시간: 												4시간 / 															2000mAh / 																											11.1V / 												[청소] BLDC모터 / 																											먼지통: 												0.1L / [부가] 프리볼트 / 																											워셔블헤파필터 / 																											색상: 												화이트 / 															무게: 												0.575kg / 2020년형											",89100
테팔 엑스나노 TY1131KO,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 브러쉬: 															바닥 / 																											틈새 / 												[배터리] 사용시간: 												40분 / 															충전시간: 												3시간 / 															리튬이온 / 																											싸이클론흡입 / 																											DC모터 / 																											먼지통: 												400mL / [부가] 워셔블먼지필터 / 																											무게: 												1.9kg / 2023년형 / 먼지흡입브러쉬: 강모브러쉬											",204660
마끼다 DCL180Z,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												30W / [배터리] 사용시간: 												20분 / 															분리형(1개) / 																											리튬이온 / 																											18V / 																											먼지통: 												0.65L / [부가] 먼지필터 / 																											색상: 												블루/네이비 / 															무게: 												1.2kg											",49650
DIBEA ALLNEW29000,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												39000Pa / 															소비전력: 												380W / [구성] 브러쉬: 															바닥, 																											물걸레(별매) / 																											침구 / 																											솔형 / 																											틈새 / 																											패브릭 / 																											연장툴 / 												[배터리] 사용시간: 												48분 / 															충전시간: 												4시간 / 															분리형(1개) / 																											2200mAh / 																											25.9V / 												[청소] LED라이트 / 																											UV살균 / 																											BLDC모터 / 																											먼지통: 												0.7L / [부가] 배터리잔량표시 / 																											헤파필터 / 																											4단계여과 / 																											색상: 												폴라나이트그레이, 미드나이트블랙 / 															무게: 												2.4kg / 크기(가로x세로x깊이): 255x1150x200mm											",249000
신일전자 LCYC913,"
핸디청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												3500Pa / 															소비전력: 												100W / [구성] 솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												20분 / 															충전시간: 												3시간 / 															리튬이온 / 																											2200mAh / 																											7.4V / 												[부가] 헤파필터 / 																											색상: 												블랙 / 															무게: 												0.48kg / 크기(가로x세로): 98x395mm											",30590
모온 뉴 오비큠 (2022년형),"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											소비전력: 												90W / [구성] 거치대: 															충전, 																											거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3시간 / 															내장형 / 																											리튬이온 / 																											2400mAh / 																											BLDC모터 / 																											먼지통: 												0.55L / [부가] 헤파필터 / 																											색상: 												마쉬멜로우 / 															무게: 												0.8kg / 2022년형 / 크기(가로x세로x깊이): 265x1055x200mm											",299000
파나소닉 MC-A10,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												22000Pa / 															소비전력: 												350W / [구성] 브러쉬: 															바닥, 																											물걸레(별매) / 																											침구 / 																											틈새 / 												[배터리] 사용시간: 												40분 / 															충전시간: 												5시간 / 															내장형 / 																											리튬이온 / 																											2000mAh / 												[청소] 먼지통: 												0.3L / [부가] 배터리잔량표시 / 																											워셔블먼지필터 / 																											색상: 												라이트그레이, 라이트그린 / 															무게: 												1.3kg / 2021년형 / 크기(가로x세로x깊이): 439x157x93mm											",193950
마이리빙 이지러빙 SNAPP-BC-01,"
욕실청소기 / 																											무선 / 																											전동회전 / 																											회전속도: 																											240RPM / 												[배터리] 사용시간: 												1시간40분 / 															충전시간: 												3시간 / 															내장형 / 																											리튬이온 / 																											2000mAh / 																											7.4V / 												[부가] 디스플레이표시 / 																											생활방수												 / 브러쉬: 라운드, 평면, 틈새, 스펀지, 광택, 물걸레, 거치대											",74900
블랙앤데커 PV1820BK,"
핸디청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												35AW / [구성] 거치대: 															거치 / 																											틈새 / 												[배터리] 사용시간: 												12분 / 															충전시간: 												4시간 / 															리튬이온 / 																											18V / 												[청소] 싸이클론흡입 / 												[부가] 배터리잔량표시 / 																											프리볼트 / 																											먼지필터 / 																											3단계여과 / 																											색상: 												블랙 / 															무게: 												1.38kg / 피벗노즐 / 크기(가로x세로x깊이): 140x270x170mm											",87400
엔뚜마노 EM-BV20000,"
욕실청소기 / 																											무선 / 																											전동회전 / 												[구성] 거치대: 															거치 / 												[배터리] 사용시간: 												50분 / 															충전시간: 												4시간 / 															2000mAh / 																											7.4V / 												[부가] 프리볼트 / 																											생활방수 / 																											색상: 												화이트 / 방수 / 브러쉬: 스펀지, 돔형, 틈새, 평면											",41300
디온리 애니웨어 NDV242W,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												15000Pa / 															소비전력: 												100W / [구성] 브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												25분 / 															충전시간: 												3.5시간 / 															1980mAh / 												[청소] BLDC모터 / 																											먼지통: 												150mL / [부가] USB충전 / 																											워셔블헤파필터 / 																											무게: 												535g / 크기(가로x세로x깊이): 58x344x58mm											",56790
테팔 에어포스360 라이트 이지 TY5520,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 																											패브릭 / 												[배터리] 사용시간: 												33분 / 															충전시간: 												4시간30분 / 															분리형(1개) / 																											리튬이온 / 																											21.6V / 																											LED라이트 / 																											BLDC모터 / 																											먼지통: 												0.5L / [부가] 워셔블먼지필터 / 																											6단계여과 / 																											무게: 												2.6kg / 2021년형											",228000
샤오미 디어마 VC01,"
스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												10000Pa / 															소비전력: 												125W / [구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 																											사용시간: 												30분 / 															2200mAh / 																											14.4V / 												[청소] 먼지통: 												0.6L / [부가] 배터리잔량표시 / 																											USB충전 / 																											헤파필터 / 																											색상: 												화이트 / 															무게: 												1.6kg / 2020년형 / 크기(가로x세로x깊이): 210x1155x180mm											",65160
웰핀 THE VACUUM,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												200W / 															흡입력: 												23000Pa / [구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												35분 / 															충전시간: 												4시간 / 															리튬이온 / 												[청소] LED라이트 / 																											BLDC모터 / 																											먼지통: 												0.5L / [부가] 대화형알림창 / 																											헤파필터 / 																											색상: 												화이트 / 2023년형 / 크기(가로x세로x깊이): 250x1190x205mm											",148000
마끼다 DCL182ZW,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												5400Pa / [배터리] 사용시간: 												40분 / 															충전시간: 												22분 / 															분리형(1개) / 																											리튬이온 / 																											18V / 												[청소] 먼지통: 												0.5L / [부가] 배터리잔량표시 / 																											먼지필터 / 																											색상: 												화이트 / 															무게: 												1.3kg / 스위블헤드 / 크기(가로x세로x깊이): 151x1004x151mm											",64040
,,
뉴썬인더스트리 하우리즈 에이미 NS-WVCA01,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											소비전력: 												250W / [구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												35분 / 															충전시간: 												5시간 / 															분리형(1개) / 																											리튬이온 / 												[청소] LED라이트 / 																											BLDC모터 / 																											먼지통: 												0.5L / [부가] 디스플레이표시 / 																											헤파필터 / 																											5단계여과 / 																											무게: 												1.4kg / 크기(가로x세로x깊이): 250x1100x170mm											",149000
쿠쿠전자 파워클론 CVC-B1010UG,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											소비전력: 												320W / [구성] 거치대: 															거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												33분 / 															분리형(1개) / 																											25.9V / 												[청소] 싸이클론흡입 / 																											BLDC모터 / 												[부가] 배터리잔량표시 / 																											헤파필터 / 																											4단계여과 / 																											색상: 												매트그레이 / 															무게: 												2.7kg / 2021년형 / 크기(가로x세로x깊이): 260x1170x240mm											",248450
일렉트로룩스 얼티밋홈 700 라이트 EFP71522,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 												[구성] 거치대: 															충전, 																											거치 / 												브러쉬: 															바닥, 																											물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												50분 / 															충전시간: 												4시간30분 / 															분리형(1개) / 																											리튬이온 / 												[청소] LED라이트 / 																											BLDC모터 / 																											먼지통: 												0.3L / [부가] 디스플레이표시 / 																											배터리잔량표시 / 																											워셔블먼지필터 / 																											5단계여과 / 																											색상: 												쉘화이트 / 															무게: 												1.9kg / 2023년형 / 오토모드 / 크기(가로x세로x깊이): 224x1008x235mm											",679000
